word, sentences,english_meaning
frisch,"1. Das Brot ist noch ganz frisch.
2. Die Handtücher sind frisch gewaschen.
3. Ich muss mal an die frische Luft.",fresh
"der Friseur, -e
die Friseurin, -nen (D, A)
→ CH: Coiffeur","1. Du siehst toll aus! Wer ist dein Friseur?
2. Meine Tochter will Friseurin werden.",the hairdresser
"die Frisur, -en",Du hast eine tolle Frisur! Warst du beim Friseur?,the hairstyle
"die Frist, -en",Die Frist für die Anmeldung zum Deutschkurs ist abgelaufen.,the deadline
froh,"1. Ich bin froh, dass alles so gut geklappt hat.
2. Frohes Fest!",glad
fröhlich,"1. Die Musik klingt fröhlich.
2. Sie ist ein fröhlicher Mensch.",cheerful
"die Frucht, ¨-e",Welche Früchte kann man essen?,the fruit
"Früchte (CH)
→ D, A: Obst",Früchte kaufe ich am liebsten auf dem Markt.,"Fruits (CH)
→ D"
früh,"1. Hier ist schon am frühen Morgen starker Verkehr.
2. Mein Vater arbeitet von früh bis spät.
3. Ich bin heute sehr früh aufgestanden.
4. Wir sind eine halbe Stunde zu früh gekommen.
5. Wecken Sie mich bitte morgen früh um 6 Uhr.",early
früher/früher-,"1. Früher habe ich in Berlin gewohnt.
2. Wir nehmen den früheren Zug.",earlier/earlier-
"frühstücken, frühstückt, frühstückte, hat gefrühstückt",Haben Sie schon gefrühstückt?,have breakfast
das Frühstück,"1. Wir sitzen gerade beim Frühstück.
2. Sollen wir Ihnen das Frühstück aufs Zimmer bringen?",the breakfast
"fühlen, fühlt, fühlte, hat gefühlt","1. Wie fühlen Sie sich? - Danke, ich fühle mich wohl.
2. Fühl mal, ob das Wasser nicht zu heiß ist.",feel
"führen, führt, führte, hat geführt","1. Der Lehrer führt seine Schüler durch das Museum.
2. Frau Meyer führt den Betrieb schon seit zehn Jahren.
3. Nach 20 Minuten führte unsere Mannschaft 2 : 0.
4. Die Straße führt direkt zum Bahnhof.",lead
"der Führerausweis, -e (CH)
→ D, A: Führerschein",Hast du einen Führerausweis?,the driver's license
"der Führerschein, -e (D, A)
→ CH: Führerausweis","1. Hast du einen Führerschein?
2. Ich habe vor einem halben Jahr den Führerschein gemacht.",the driver's license
"die Führung, -en","1. Die nächste Führung beginnt um 15 Uhr.
2. Bayern München liegt in Führung.",the leadership
"das Fundbüro, -s",Sie haben Ihren Schirm verloren. Da fragen Sie am besten im Fundbüro.,the lost and found office
"funktionieren, funktioniert, funktionierte, hat funktioniert","1. Können Sie mir bitte mal zeigen, wie der Automat funktioniert?
2. Unsere Ehe funktioniert nicht mehr.",function
für,"1. Ist Post für mich da?
2. Ich habe die Schlüssel für meine Wohnung verloren.
3. Gibt es hier einen Sportverein für Jugendliche?
4. Diese alten Möbel haben wir für 100 Euro bekommen.
5. Für einen Anfänger spielt er schon sehr gut Klavier.
6. Du kannst nicht einkaufen gehen? Ich kann es für dich machen.
7. Für mich ist das ein schwerer Fehler.
8. Wir haben die Wohnung für ein Jahr gemietet.",for
furchtbar,"1. Dennis hat furchtbare Schmerzen.
2. Das war mir furchtbar unangenehm.",terrible
"(sich) fürchten, fürchtet, fürchtete, hat gefürchtet",Sie fürchtet sich vor Schlangen.,(to be afraid
"der Fuß, ¨-e","1. Er hat sich den linken Fuß gebrochen.
2. Sind Sie zu Fuß gekommen?",the foot
"der Fußball, ¨-e","1. Spielt ihr gerne Fußball?
2. Jonas wünscht sich zu Weihnachten einen neuen Fußball.",the football
"der Fußgänger, -
die Fußgängerin, -nen",Dieser Weg ist nur für Fußgänger.,the pedestrian
"die Fußgängerzone, -n",Wir treffen uns um 15 Uhr in der Fußgängerzone.,the pedestrian zone
"füttern, füttert, fütterte, hat gefüttert","Es ist im Zoo nicht erlaubt, die Tiere zu füttern.",feed
"die Gabel, -n",Wir brauchen bitte noch eine Gabel.,the fork
"die Galerie, -n",Diese Galerie ist sehr interessant.,the gallery
"der Gang, ¨-e","1. Wir warten draußen im Gang. ( → D, CH: Korridor; D: Flur)
2. Schalten Sie bitte jetzt in den dritten Gang.
3. Was möchten Sie als ersten Gang? Suppe oder Salat?",the aisle
ganz,"1. Ich habe den ganzen Tag noch nichts gegessen.
2. Den Zahnarzttermin habe ich ganz vergessen.
3. Ich finde Janis ganz nett.
4. Am Montag ist hier Ruhetag. Das weiß ich ganz sicher.
5. Gott sei Dank ist meine Brille noch ganz.",quite
gar,"1. Die Kartoffeln sind noch nicht gar.
2. Du räumst nie dein Zimmer auf. – Das ist gar nicht wahr.",even
"die Garage, -n",Hier ist eine Garage zu vermieten.,the garage
"garantieren, garantiert, garantierte, hat garantiert","Ich kann Ihnen nicht garantieren, dass das Gerät nächste Woche fertig ist.",guarantee
die Garantie,Auf die Waschmaschine haben Sie ein Jahr Garantie.,the guarantee
"die Garderobe, -n","1. Die Mäntel bitte an der Garderobe abgeben.
2. Bitte, achten Sie auf Ihre Garderobe.",the wardrobe
"der Garten, ¨-",Wir haben einen schönen großen Garten.,the garden
das Gas,"1. Wir kochen mit Gas.
2. Gib Gas! Die Ampel ist grün.",the gas
"der Gast, ¨-e","1. Wir haben heute Abend Gäste.
2. Der Gast hat sich über das Essen beschwert.",the guest
"das Gasthaus, ¨-er (A)",Gehen wir noch in ein Gasthaus ein Bier trinken?,the inn
"die Gaststätte, -n (D)",Ich arbeite seit einem Monat in einer Gaststätte.,the restaurant
"das Gebäude, -",In diesem Gebäude sind nur Büros.,the building
"geben, gibt, gab, hat gegeben","1. Geben Sie mir bitte eine Quittung!
2. Können Sie mir etwas zum Schreiben geben?
3. Der Arzt hat mir eine Spritze gegeben.
4. Was gibt es im Fernsehen?
5. Es gibt bald Regen.",give
das Gebäck,Das Gebäck ist ganz frisch.,the pastries
"das Gebiet, -e","1. In diesem Gebiet gibt es kaum Industrie.
2. Die Zeitschrift berichtet regelmäßig über Fortschritte auf dem Gebiet der Medizin.",the area
das Gebirge,Wir haben unseren Urlaub im Gebirge verbracht.,the mountains
"geboren werden, wird geboren, wurde geboren, ist geboren worden",Wann und wo sind Sie geboren?,to be born
"gebrauchen, gebraucht, gebrauchte, hat gebraucht","1. Wir können diese Möbel gut gebrauchen.
2. Ich habe den Wagen gebraucht gekauft.
3. Ich suche eine gebrauchte Waschmaschine.",use
"die Gebrauchsanweisung, -en",Lesen Sie bitte zuerst die Gebrauchsanweisung.,the instructions for use
"die Gebühr, -en",Die Gebühr liegt bei 60 Euro.,the fee
"die Geburt, -en",Wir gratulieren zur Geburt eures Kindes!,the birth
"der Geburtstag, -e",Herzlichen Glückwunsch zum Geburtstag!,the birthday
"das Gedicht, -e",Kennst du ein schönes Gedicht?,the poem
die Geduld,Bitte haben Sie etwas Geduld.,the patience
geehrt,"Sehr geehrte Damen und Herren, …",honored
geeignet,Dieses Spiel ist nicht für Kinder unter drei Jahren geeignet.,suitable
"die Gefahr, -en",Betreten der Baustelle auf eigene Gefahr.,the danger
gefährlich,"1. Achtung, hier ist eine gefährliche Kurve!
2. Du darfst nicht bei Rot über die Straße gehen. Das ist gefährlich.",dangerous
"gefallen, gefällt, gefiel, hat gefallen","1. Wie gefällt es Ihnen hier?
2. Der Pullover gefällt mir gut.",fallen
"sich etwas gefallen lassen, lässt sich etwas gefallen, ließ sich etwas gefallen, hat sich etwas gefallen lassen",Das würde ich mir nicht gefallen lassen.,to put up with something
"das Gefängnis, -se",Er wurde zu fünf Jahren Gefängnis verurteilt.,the prison
"das Gefühl, -e","Ich glaube, ich schaffe die Prüfung. Ich habe ein gutes Gefühl.",the feeling
gegen,"1. Ich bin gegen einen Baum gefahren.
2. Das ist gegen die Vorschrift.
3. Haben Sie ein Mittel gegen Grippe?
4. Wir liefern nur gegen bar.
5. Ich bin gegen 14 Uhr wieder da.
6. Ich bin gegen diesen Vorschlag.
7. Wer spielt gegen wen?",against
"der Gegner, -","1. Sie ist eine Gegnerin von Tierversuchen.
2. Die Mannschaft aus Frankreich war ein sehr starker Gegner.",the opponent
"die Gegend, -en","1. Der Schwarzwald ist eine sehr schöne Gegend.
2. Die Schule muss hier in der Gegend sein.",the area
"der Gegensatz, ¨-e","1. Diese beiden Meinungen stehen in starkem Gegensatz zueinander.
2. Im Gegensatz zu ihm ist sein Vater ziemlich klein.",the opposite
"der Gegenstand, ¨-e","1. Ich schließe meine persönlichen Gegenstände im Schwimmbad lieber in ein Fach ein.
2. Eine Durchsage der Polizei: Auf der A8 liegen Gegenstände auf der Fahrbahn.",the object
"das Gegenteil, -e","1. Das Gegenteil von „klein“ ist „groß“.
2. Sie ist das genaue Gegenteil von ihrem Bruder.
3. Du bist sicher müde. – Nein, ganz im Gegenteil!",the contrary
gegenüber,"1. Das Geschäft liegt direkt gegenüber der Post.
2. Dem Gast gegenüber ist das Rauchen nicht höflich.
3. Das Café liegt gegenüber vom Bahnhof.",opposite
"das Gehalt, ¨-er",Ich bin mit meinem Gehalt zufrieden.,the salary
"das Geheimnis, -se",Das kann ich dir nicht sagen. Das ist ein Geheimnis.,the secret
geheim,Das ist geheim. Du darfst es niemandem sagen.,secret
"gehen, geht, ging, ist gegangen","1. Ich gehe jeden Morgen zu Fuß zur Arbeit.
2. Meine Tochter geht noch aufs Gymnasium.
3. Ich muss jetzt leider gehen.
4. Ein Freund von mir geht ins Ausland.
5. Der nächste Zug geht erst in zwei Stunden.
6. Am Anfang ging alles ganz gut.
7. Geht Ihre Uhr richtig?
8. Geht das bis morgen? – Nein, das geht nicht. Ich brauche mehr Zeit.
9. Der Mantel geht nicht mehr in den Koffer.
10. Das Fenster geht auf die Straße.
11. Geht es hier zum Zentrum?
12. Wie geht es Ihnen heute?
13. Ist das sehr teuer? – Es geht.
14. Um was geht es denn?
15. Warum geht das Licht nicht?
16. Ich weiß nicht, wie das geht.",go
"gehören, gehört, gehörte, hat gehört",Gehört Ihnen das Haus?,belong
"der Gehsteig (D, A)
→ CH: Trottoir",Das Fahrradfahren auf dem Gehsteig ist nicht erlaubt.,the sidewalk (D
das Geld,"1. Ich habe nicht genug Geld dabei.
2. Sie haben mir zu viel Wechselgeld gegeben.",the money
"der Geldautomat, -en (D)
→ A, CH: Bancomat/Bankomat",Ich hole noch Geld vom Geldautomaten.,the ATM
"die Geldbörse, -n (A)
→ Brieftasche; D, CH: Portemonnaie/Portmonee",Ich habe nur Kleingeld in meiner Geldbörse.,the wallet
"die Gelegenheit, -en","Das Fest ist eine gute Gelegenheit, unsere Freunde zu sehen.",the opportunity
"gelingen, gelingt, gelang, ist gelungen","Es ist mir gelungen, meinen Chef zu überzeugen.",succeed
"gelten, gilt, galt, hat gegolten","1. Mein Pass gilt noch ein Jahr.
2. Bitte diesen Zettel gut aufheben: Er gilt als Garantie.",apply
gemeinsam,"1. Du musst die Wohnung renovieren? Ich helfe dir. Wir können das gemeinsam machen.
2. Wir benutzen die Garage gemeinsam mit dem Nachbarn.",together
"die Gemeinschaft, -en",Rauchen ist in den Gemeinschafts-räumen nicht erlaubt.,the community
das Gemüse,Wir kaufen das Gemüse direkt beim Bauern.,the vegetable
gemütlich,"1. Wir haben eine sehr gemütliche Wohnung.
2. Es ist sehr gemütlich bei dir.",cozy
genau,"1. Haben Sie die genaue Zeit?
2. Sind Sie sicher, dass heute Ruhetag ist? – Ja, das weiß ich genau.
3. Die Uhr geht genau.
4. Es ist genau acht Uhr.",Exactly
genauso,Katarina sieht genauso aus wie ihre Schwester.,just as
"genehmigen, genehmigt, genehmigte, hat genehmigt",Mein Chef hat mir sechs Wochen Urlaub genehmigt.,to permit
"die Generation, -en",In diesem Haus wohnen drei Generationen zusammen.,the generation
"genießen, genießt, genoss, hat genossen","1. Er kann das Essen leider nicht genießen, weil es zu scharf ist.
2. Sie hat eine gute Ausbildung genossen.",enjoy
genug,"1. Es ist noch genug Suppe da.
2. Ich habe jetzt lange genug gewartet.
3. Ich verdiene nicht genug.",enough
"genügen, genügt, genügte, hat genügt",Wie viele Zimmer brauchen Sie? – Mir genügt eine 2-Zimmer-Wohnung.,suffice
das Gepäck,Ich habe mein Gepäck am Bahnhof gelassen.,the luggage
gerade,"1. Das Bild hängt nicht gerade.
2. Kannst du später noch mal anrufen? Wir sind gerade beim Essen.",straight
geradeaus,Fahren Sie geradeaus bis zur nächsten Kreuzung.,straight ahead
"das Gerät, -e",Ich kaufe meine Elektrogeräte immer gebraucht. Das ist viel billiger.,the device
gerecht,Lass uns den Kuchen gerecht verteilen.,just
"das Gericht, -e","1. Ich habe heute Vormittag einen Termin beim Gericht.
2. Mein Lieblingsgericht ist Pizza.",the court
gering,"1. Unsere Mannschaft hatte nur eine geringe Chance.
2. Wenn Sie ein geringes Einkommen haben, zahlen Sie nur wenig Steuern.",small amount
gern/gerne,"1. Ich helfe Ihnen gern.
2. Kaffee oder Tee? – Ich möchte lieber einen Tee.
3. Am liebsten trinke ich Kaffee.",gladly/gladly
gesamt-/Gesamt-,"1. Ich habe meine gesamten Bücher verschenkt.
2. z. B. Gesamtgewicht, Gesamtsumme",total/total
"das Geschäft, -e","1. Die Geschäfte schließen um 18.30 Uhr.
2. Wissen Sie, wo hier ein Schuhgeschäft ist?",the business
"geschehen, geschieht, geschah, ist geschehen",Vielen Dank für Ihre Hilfe. – Gern geschehen.,happen
"das Geschenk, -e",Vielen Dank für das Geschenk.,the gift
"die Geschichte, -n","1. Ich interessiere mich nicht für Geschichte.
2. Abends erzähle ich meinen Kindern immer eine Geschichte.",the story
geschieden,Ich bin seit drei Jahren geschieden.,divorced
das Geschirr,Für die Geburtstagsfeier brauche ich Geschirr für zwölf Personen.,the dishes
"das Geschlecht, -er",Bitte kreuzen Sie an: „Geschlecht: weiblich/männlich“.,the gender
der Geschmack,Ich möchte bitte Kaugummi mit Erdbeergeschmack.,the taste
"die Geschwindigkeit, -en",Das Auto fuhr mit zu hoher Geschwindigkeit.,the speed
"die Geschwindigkeitsbeschränkung, -en",Bitte beachten Sie die Geschwindigkeitsbeschränkungen.,the speed limit
die Geschwister (Pl.),Die Geschwister sehen sich nur selten.,the siblings (pl.)
"die Gesellschaft, -en","1. Er will die Gesellschaft verändern.
2. Meine Frau arbeitet bei einer Versicherungsgesellschaft.
3. Ich fühle mich in großer Gesellschaft wohl.",the society
"das Gesetz, -e",Das Parlament hat ein neues Gesetz beschlossen.,the law
"das Gesicht, -er","1. Wasch dir bitte das Gesicht.
2. Mach doch kein so trauriges Gesicht!",the face
gespannt,"Ich bin gespannt, wer bei diesem Spiel gewinnt.",tense
"das Gespräch, -e","1. Herr Müller ist gerade in einem Gespräch.
2. Ich erwarte ein Gespräch aus Berlin.",the conversation
gestern,Ich bin erst gestern zurückgekommen.,yesterday
gesund,"1. Ich hatte Grippe. Jetzt bin ich wieder gesund.
2. Zu viel Zucker ist nicht gesund.",healthy
die Gesundheit,"1. Sie müssen mehr auf Ihre Gesundheit achten.
2. Gesundheit! Sind Sie erkältet?",the health
"das Getränk, -e","1. Besorgst du bitte die Getränke?
2. Bitte die Getränkekarte!
3. Mein Lieblingsgetränk ist Tomatensaft.",the drink
"die Gewalt, -en","1. Ich mag keine Filme, in denen Gewalt vorkommt.
2. Die Tür ließ sich nur mit Gewalt öffnen.",the violence
"die Gewerkschaft, -en",Die Gewerkschaft vertritt die Interessen der Arbeitnehmer.,the union
"das Gewicht, -e","1. Wie teuer ist das Päckchen? – Das hängt vom Gewicht ab.
2. Sie dürfen Gepäck bis zu einem Gewicht von 15 kg mitnehmen.",the weight
"gewinnen, gewinnt, gewann, hat gewonnen","1. Ich möchte so gern einmal im Lotto gewinnen.
2. Unsere Mannschaft hat gewonnen.",win
"der Gewinn, -e",Ich habe bei einem Ratespiel mitgemacht. Der Hauptgewinn ist ein Auto.,the profit
das Gewissen,Ich habe deinen Geburtstag vergessen. Ich habe ein ganz schlechtes Gewissen.,the conscience
"das Gewitter, -",Es wird gleich ein Gewitter geben.,the thunderstorm
"gewöhnen, gewöhnt, gewöhnte, hat gewöhnt/ist gewöhnt","1. Wir haben uns an das Leben hier gewöhnt.
2. Ich bin daran gewöhnt, früh aufzustehen.",get used to
"die Gewohnheit, -en","1. Er hat die Gewohnheit, morgens zuerst die Post zu erledigen.
2. Aus alter Gewohnheit treffen wir uns jeden Samstagabend.",the habit
gewohnt,"Ich bin gewohnt, früh ins Bett zu gehen.",used
gewöhnlich,Um die Zeit ist er gewöhnlich zu Hause.,usually
"das Gewürz, -e",Von den scharfen Gewürzen bekommt man Durst.,the spice
"gießen, gießt, goss, gegossen",Es hat nicht geregnet. Ich muss meine Blumen gießen.,pour
"das Gift, -e","Vorsicht, das Gift dieser Pflanze ist für Menschen gefährlich!",the poison
giftig,"Vorsicht, das ist giftig!",poisonous
"die Gitarre, -n",Ich spiele seit drei Jahren Gitarre.,the guitar
"die/das Glace/Glacé, -n (CH)
→ D, A: Eis",Zum Dessert gibt es Schokoladenglace.,the ice cream/ice cream
"das Glas, ¨-er","1. Vorsicht, die Kanne ist aus Glas!
2. Eine Flasche Mineralwasser und zwei Gläser bitte!
3. Ein Glas Bier bitte.",the glass
glatt,Fahr vorsichtig! Es ist glatt.,smooth
"glauben, glaubt, glaubte, hat geglaubt","1. Ich glaube, der Chef ist heute nicht im Büro.
2. Er glaubt mir nicht, dass ich schon um 8 Uhr hier war.
3. Glaubst du an Zufälle?",believe
gleich,"1. Ich komme gleich.
2. Wir sind gleich alt.
3. Es ist mir ganz gleich, was Sie von mir denken.
4. Wir haben das gleiche Hemd an.",even
gleichfalls,"Schöne Feiertage! – Danke, gleichfalls.",same to you
gleichberechtigt,Mann und Frau sind gleichberechtigt.,equal
gleichzeitig,Ich kann nicht alles gleichzeitig machen.,at the same time
"das Gleis, -e",Der Zug fährt heute von Gleis 7 ab.,the track
das Glück,"1. Du hast dich nicht verletzt. Da hast du Glück gehabt.
2. Viel Glück bei der Prüfung!
3. Es hat geregnet. Zum Glück hatte ich einen Regenschirm dabei.",the happiness
glücklich,"1. Meine Schwester hat geheiratet und ist sehr glücklich.
2. Ich wünsche Ihnen ein glückliches neues Jahr.
3. Ich bin glücklich verheiratet.",happy
"der Glückwunsch, ¨-e",Herzlichen Glückwunsch zum Geburtstag!,the congratulations
das Gold,"Ist der Ring aus Gold? Nein, der sieht nur so aus.",the gold
"Golf, das Golfspiel",Kannst du Golf spielen?,golf
"der Gott, ¨-er","1. Glaubst du an Gott?
2. Gott sei Dank ist ihm nichts passiert.",the god
"die Grafik, -en",Die Grafik zeigt die Temperaturen im letzten Jahr.,the graphic
das Gras,Wir lagen den ganzen Tag im Gras.,the grass
